"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86371",NaN,NaN,NaN,NaN,NaN,20625.472694718,NaN,NaN,NaN,NaN
"86384",49830.660046083,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86392",NaN,NaN,39301,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86395",NaN,NaN,39302,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86396",NaN,NaN,39462,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86397",NaN,NaN,39307.2274105519,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86398",NaN,NaN,39300,NaN,37308.9008746356,NaN,NaN,NaN,NaN,NaN
"86400",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16420,NaN
"86407",NaN,345961.179007908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86408",NaN,345878.717105263,NaN,NaN,37449,NaN,NaN,NaN,16450,NaN
"86409",NaN,345600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86410",NaN,345600,NaN,NaN,NaN,NaN,NaN,NaN,16448.3979193758,NaN
"86411",NaN,345797.696103896,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86412",49882.43,345618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86413",NaN,345618,NaN,NaN,37400,NaN,NaN,NaN,NaN,NaN
"86414",NaN,346607,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86415",NaN,NaN,NaN,NaN,37280,NaN,NaN,NaN,NaN,NaN
"86419",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16450,NaN
"86421",49804.713736911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86422",49828.42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86423",49777.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86430",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16450,NaN
"86431",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7044
"86434",NaN,NaN,NaN,NaN,NaN,20600,NaN,NaN,NaN,NaN
"86435",NaN,NaN,NaN,NaN,NaN,20600,NaN,NaN,NaN,NaN
"86436",NaN,346600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86438",NaN,346600,NaN,NaN,NaN,20650,NaN,NaN,NaN,NaN
"86441",NaN,NaN,NaN,NaN,37447,20569,NaN,NaN,16451,NaN
"86443",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16450,NaN
"86445",49682.0110577508,346740,NaN,NaN,NaN,20650,NaN,NaN,NaN,NaN
"86446",NaN,NaN,NaN,NaN,37447,NaN,26675,18193,16496,7036.83050847458
"86449",49668.36,NaN,39204.2535401214,32106,NaN,NaN,NaN,NaN,NaN,NaN
"86451",NaN,346600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86452",49587.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86454",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16490.8510638298,NaN
"86456",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16451,NaN
"86458",49568.77788,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16450,NaN
"86459",NaN,345650,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86460",NaN,NaN,NaN,32101,NaN,NaN,NaN,NaN,16450,NaN
"86462",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16452,NaN
"86463",NaN,345650,NaN,32022,NaN,NaN,NaN,NaN,NaN,NaN
"86465",NaN,NaN,NaN,NaN,NaN,20600,NaN,NaN,NaN,NaN
"86467",49621.23,346600,39260,32101,NaN,20650,NaN,NaN,16486.5520728008,7044
"86469",49619.5281463415,346630.636594663,NaN,32105.9130434783,37446,20663.3997024547,NaN,NaN,16483.4374437444,7046.27066450567
"86470",NaN,346318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
