"","BTI","NPN","AGL","MNP","SOL","SBK","NED","ABG","SHP","FSR"
"86371",NaN,NaN,NaN,NaN,NaN,1561359603,NaN,NaN,NaN,NaN
"86384",1561359616,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86392",NaN,NaN,1561359624,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86395",NaN,NaN,1561359627,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86396",NaN,NaN,1561359628,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86397",NaN,NaN,1561359629,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86398",NaN,NaN,1561359630,NaN,1561359630,NaN,NaN,NaN,NaN,NaN
"86400",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359632,NaN
"86407",NaN,1561359639,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86408",NaN,1561359640,NaN,NaN,1561359640,NaN,NaN,NaN,1561359640,NaN
"86409",NaN,1561359641,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86410",NaN,1561359642,NaN,NaN,NaN,NaN,NaN,NaN,1561359642,NaN
"86411",NaN,1561359643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86412",1561359644,1561359644,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86413",NaN,1561359645,NaN,NaN,1561359645,NaN,NaN,NaN,NaN,NaN
"86414",NaN,1561359646,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86415",NaN,NaN,NaN,NaN,1561359647,NaN,NaN,NaN,NaN,NaN
"86419",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359651,NaN
"86421",1561359653,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86422",1561359654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86423",1561359655,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86430",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359662,NaN
"86431",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359663
"86434",NaN,NaN,NaN,NaN,NaN,1561359666,NaN,NaN,NaN,NaN
"86435",NaN,NaN,NaN,NaN,NaN,1561359667,NaN,NaN,NaN,NaN
"86436",NaN,1561359668,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86438",NaN,1561359670,NaN,NaN,NaN,1561359670,NaN,NaN,NaN,NaN
"86441",NaN,NaN,NaN,NaN,1561359673,1561359673,NaN,NaN,1561359673,NaN
"86443",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359675,NaN
"86445",1561359677,1561359677,NaN,NaN,NaN,1561359677,NaN,NaN,NaN,NaN
"86446",NaN,NaN,NaN,NaN,1561359678,NaN,1561359678,1561359678,1561359678,1561359678
"86449",1561359681,NaN,1561359681,1561359681,NaN,NaN,NaN,NaN,NaN,NaN
"86451",NaN,1561359683,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86452",1561359684,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86454",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359686,NaN
"86456",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359688,NaN
"86458",1561359690,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359690,NaN
"86459",NaN,1561359691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86460",NaN,NaN,NaN,1561359692,NaN,NaN,NaN,NaN,1561359692,NaN
"86462",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1561359694,NaN
"86463",NaN,1561359695,NaN,1561359695,NaN,NaN,NaN,NaN,NaN,NaN
"86465",NaN,NaN,NaN,NaN,NaN,1561359697,NaN,NaN,NaN,NaN
"86467",1561359699,1561359699,1561359699,1561359699,NaN,1561359699,NaN,NaN,1561359699,1561359699
"86469",1561359701,1561359701,NaN,1561359701,1561359701,1561359701,NaN,NaN,1561359701,1561359701
"86470",NaN,1561359702,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86471",1561359703,1561359703,1561359703,NaN,1561359703,1561359703,NaN,NaN,1561359703,1561359703
"86472",NaN,1561359704,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
"86473",1561359705,1561359705,1561359705,NaN,1561359705,1561359705,NaN,NaN,1561359705,1561359705
"86474",1561359706,1561359706,1561359706,NaN,1561359706,1561359706,NaN,NaN,1561359706,1561359706
"86475",NaN,1561359707,NaN,NaN,1561359707,NaN,NaN,NaN,NaN,NaN
"86476",1561359708,1561359708,NaN,NaN,1561359708,NaN,NaN,NaN,1561359708,NaN
"86477",NaN,NaN,NaN,NaN,1561359709,NaN,NaN,NaN,NaN,NaN
